account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
R8483071100,2552 W COBALT DR,TM CREEK SUB NO 07,3.6024,3.606,,City of Meridian,R-40,Meridian High Density Res (40 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.303,0.759,48,18.22,6,43.602131,-116.425372,71.6,LOT 24 BLK 03 TM CREEK SUB NO 07
R5862150400,1686 S MOVADO WAY,MOVADO VILLAGE SUB,1.5143,1.515,989900,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,1.065,0.749,128,6.58,3,43.589767,-116.339805,71.5,LOT 01 BLK 02 MOVADO VILLAGE SUB
R8483060020,S WAYFINDER AVE,TM CREEK SUB NO 06,1.2328,1.234,0,City of Meridian,R-40,Meridian High Density Res (40 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.378,0.415,48,18.22,6,43.602668,-116.426743,71.5,LOT 08 BLK 03 TM CREEK SUB NO 06
R3238510205,1860 S WELLS AVE,GRAMERCY SUB NO 01,2.7639,2.767,1446400,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.278,0.765,171,4.43,2,43.587929,-116.361291,70.9,PAR #0205 LOT 12 & POR LOT 11 BLK 2 GRAMERCY SUB NO 01 PARCEL B ROS 11345 #0190-
R3238510230,2644 E BLUE HORIZON DR,GRAMERCY SUB NO 01,1.6624,1.664,869800,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.327,0.785,171,4.43,2,43.587211,-116.361287,70.8,LOT 15  BLK 02 GRAMERCY SUB #1
R1022760100,2131 S BONITO WAY,BONITO SUB,2.6786,2.68,1243300,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.451,0.751,166,4.58,2,43.585557,-116.358953,70.7,LOT 10 BLK 01 BONITO SUB
R1022760200,1751 S BONITO WAY,BONITO SUB,2.4676,2.467,1289600,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.234,0.739,180,4.15,2,43.588859,-116.358925,70.7,LOT 03 BLK 03 BONITO SUB
R1022760090,2257 S BONITO WAY,BONITO SUB,1.9053,1.905,871300,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.502,0.732,166,4.58,2,43.584776,-116.359178,70.6,LOT 09 BLK 01 BONITO SUB
R1022760195,1869 S BONITO WAY,BONITO SUB,1.6835,1.685,880800,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.278,0.615,180,4.15,2,43.588204,-116.358816,70.6,PAR #0195 N'LY POR LOT 2 BLK 3 BONITO SUB PARCEL A  R/S 8648 #0190-B
R7319430100,S RACKHAM WAY,RACKHAM SUB,3.1677,3.176,2490200,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,MU-RG,Mixed Use – Regional,supports multifamily,0.433,0.725,178,4.18,2,43.59477,-116.35317,70.3,LOT 01 BLK 01 RACKHAM SUB
