account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
R5443010239,S WELLS ST,MAGIC VIEW SUB AMD,5.9927,6,920000,City of Meridian,L-O,Limited Office,Office,Low,Vacant Land,Meridian,MU-N,Mixed Use – Neighborhood,supports attached/medium,0.433,0.621,27,28.03,6,43.598202,-116.360896,59.2,LOT 23 MAGIC VIEW SUB AMD & LOTS 02-03 BLK 01 FALLON GREENS SUB PAR A ROS 13064 
R8019000050,1500 N ELDORADO ST,SNIDER SUB,1.9871,1.99,,City of Boise,MX-3,Boise Mixed-Use Regional,Mixed Use,High,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,4.922,0.618,337,1.99,1,43.617902,-116.269275,59.1,"LOTS 09, 10 & POR LOTS 04-06 SNIDER SUB PARCEL A ROS 14793 #0031-C #0090-C #0100"
R5443010075,675 S WELLS ST,MAGIC VIEW SUB AMD,11.1172,0,,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,Medium Density Residential,Medium-Density Residential (planned),supports attached/medium,0.499,0.734,27,28.03,6,43.598922,-116.363424,59.0,LOTS 07 & 22 MAGIC VIEW SUB AMD #0070-C #0220-C
S1125212400,8373 W VICTORY RD,3N 1E 25,14.9879,15,9147600,City of Boise,R-3,Boise Multifamily,Multifamily Residential,High,Vacant Land,Boise,School,School,institutional,3.986,0.761,62,14.99,1,43.573835,-116.285267,59.0,PAR #2400 OF N2 SEC 25 3N 1E PARCEL B ROS 12270 #120861-S #212503-C
R2391230350,527 S WHISPERWOOD WAY,ENGLEFIELD GREEN SUB NO 02,1.465,1.467,0,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Mixed Use,Mixed Use,supports multifamily,4.839,0.835,396,1.47,1,43.599597,-116.264748,58.8,LOT 01  BLK 09 ENGLEFIELD GREENS SUB NO 02
R0967630010,S NICKEL CREEK PL,BITTERCREEK HEIGHTS SUB NO 02,48.4574,48.506,1151000,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,Low Density Residential,Low-Density Residential (planned),single-family oriented,4.477,0.736,14,50.21,2,43.563298,-116.441101,58.3,LOT 10 BLK 01 BITTERCREEK HEIGHTS SUB NO 02
R0967620110,4349 S NICKEL CREEK PL,BITTERCREEK HEIGHTS SUB,1.7539,1.76,0,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Meridian,Low Density Residential,Low-Density Residential (planned),single-family oriented,4.525,0.442,14,50.21,2,43.565258,-116.443443,58.2,LOT 01 BLK 03 BITTERCREEK HEIGHTS SUB
R8484030200,2466 W NAVIGATOR DR,TM CROSSING SUB NO 04,1.2153,1.217,289500,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Commercial,Commercial,non-residential (MF only if mixed),3.194,0.697,21,31.53,13,43.595986,-116.424464,57.1,LOT 16 BLK 02 TM CROSSING SUB NO 4
R8484030400,2474 W EXCURSION LN,TM CROSSING SUB NO 04,1.813,1.813,1421500,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Commercial,Commercial,non-residential (MF only if mixed),3.202,0.476,21,31.53,13,43.596796,-116.424515,57.1,LOT 18 BLK 02 TM CROSSING SUB NO 4
R8484030500,2520 W EXCURSION LN,TM CROSSING SUB NO 04,1.8689,1.868,1464700,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Commercial,Commercial,non-residential (MF only if mixed),3.238,0.66,21,31.53,13,43.59686,-116.425221,57.1,LOT 19 BLK 02 TM CROSSING SUB NO 4
