property,bucket,units,address,latitude,longitude
1519 South Londoner Avenue,PROPOSED,189,1519 S Londoner Ave Boise ID 83706,43.59368,-116.18581
3300 South Vista Avenue,PROPOSED,180,3300 S Vista Ave Boise ID 83705,43.572137,-116.212921
Armory,PROPOSED,206,801 Reserve St Boise ID 83712,43.61432,-116.184016
First & Myrtle,PROPOSED,20,17 E Myrtle St Boise ID 83702,43.608983,-116.197621
Harris Ranch East,PROPOSED,59,3201 S Council Spring Rd Boise ID 83716,43.573711,-116.114871
LOCAL Boise,STABILIZED / STABILIZING,259,250 E Myrtle St Boise ID 83702,43.607891,-116.19596
Seasons on the Bench,PROPOSED,358,2521 W Victory Rd Boise ID 83705,43.572774,-116.209703
Station Village,PROPOSED,84,2350 W Kootenai St Boise ID 83706,43.594967,-116.210304
Vista Point,PROPOSED,893,2017 W Victory Rd Boise ID 83705,43.572098,-116.205003
