property,bucket,units,address,latitude,longitude
1519 South Londoner Avenue,PROPOSED,189,1519 S Londoner Ave Boise ID 83706,,
3300 South Vista Avenue,PROPOSED,180,3300 S Vista Ave Boise ID 83705,,
Armory,PROPOSED,206,801 Reserve St Boise ID 83712,,
First & Myrtle,PROPOSED,20,17 E Myrtle St Boise ID 83702,,
Harris Ranch East,PROPOSED,59,3201 S Council Spring Rd Boise ID 83716,,
LOCAL Boise,STABILIZED / STABILIZING,259,250 E Myrtle St Boise ID 83702,,
Seasons on the Bench,PROPOSED,358,2521 W Victory Rd Boise ID 83705,,
Station Village,PROPOSED,84,2350 W Kootenai St Boise ID 83706,,
Vista Point,PROPOSED,893,2017 W Victory Rd Boise ID 83705,,
