property,est_delivery,units,bucket,costar_year,# Fill est_delivery as 'Q2 2028'. Re-run with --pipeline-dates.
Vista Point,,892,PROPOSED,,
1519 South Londoner Avenue,,189,PROPOSED,,
3300 South Vista Avenue,,183,PROPOSED,,
Station Village,,86,PROPOSED,,
