region_code,region_name,region_basename,state,region_type,total_in,total_out,total_net,total_natural_growth,total_international_migration,avg_seasonal_visitors,latest_adjusted_population,latest_median_hhi,latest_median_age,latest_percent_white,latest_percent_asian,latest_percent_black_or_african_american,latest_percent_hispanic_or_latino,latest_percent_bachelor_and_higher,latest_average_household_value,latest_arealand,latest_population_density,latest_pop_change_forecast,weighted_avg_median_hhi_in,weighted_avg_median_age_in,weighted_avg_percent_white_in,weighted_avg_percent_asian_in,weighted_avg_percent_black_or_african_american_in,weighted_avg_percent_hispanic_or_latino_in,total_gross_migration,calc_net_migration_pct,calc_hhi_ratio,calc_age_diff,calc_white_diff,calc_asian_diff,calc_black_diff,calc_hispanic_diff,calc_pop_change,calc_pop_change_pct
43020,"Shawano, WI Micro Area","Shawano, WI Micro Area, Wisconsin",Wisconsin,cbsa,1337,917,420,-78,26,993.41,46498.54,67159.8,44.7,0.78,0.01,0.01,0.03,0.13,82505.9,1250.5,37.18,0.0265,85578.3,40.81,0.74,0.05,0.05,0.12,2254,0.009032541666899648,1.274248881027043,-3.8900000000000006,-0.040000000000000036,0.04,0.04,0.09,368,0.007977361635046977
42300,"Sault Ste. Marie, MI Micro Area","Sault Ste. Marie, MI Micro Area, Michigan",Michigan,cbsa,2052,1634,418,-182,130,1390.74,37649.01,62983.34,41.6,0.69,0.01,0.04,0.02,0.16,94874.92,1557.77,24.17,-0.0079,79506.74,42.81,0.72,0.03,0.13,0.13,3686,0.011102549575672773,1.2623455663037242,1.2100000000000009,0.030000000000000027,0.019999999999999997,0.09,0.11,366,0.00981680395440175
13260,"Bedford, IN Micro Area","Bedford, IN Micro Area, Indiana",Indiana,cbsa,1419,1004,415,-184,13,568.34,44737.3,66716.44,43.3,0.93,0.01,0,0.02,0.12,65889.94,449.11,99.61,-0.0064,73813.49,36.01,0.68,0.05,0.1,0.12,2423,0.009276375641802254,1.1063763294324458,-7.289999999999999,-0.25,0.04,0.1,0.09999999999999999,244,0.005483971744060341
22580,"Forest City, NC Micro Area","Forest City, NC Micro Area, North Carolina",North Carolina,cbsa,2805,2393,411,-416,0,839.61,65884.99,51880.75,45.3,0.81,0,0.08,0.06,0.13,91527.67,565.4,116.53,0.0259,71335.66,41.29,0.68,0.03,0.14,0.11,5198,0.006238143164323163,1.3749928441666708,-4.009999999999998,-0.13,0.03,0.06000000000000001,0.05,-5,-0.00007588406068964345
47620,"Warren, PA Micro Area","Warren, PA Micro Area, Pennsylvania",Pennsylvania,cbsa,1158,747,411,-247,39,645.99,38717.96,60666.44,47.1,0.94,0,0.01,0.01,0.13,83914.03,884.21,43.79,-0.0099,76642.48,43.77,0.82,0.03,0.07,0.09,1905,0.010615228694900248,1.263342302597614,-3.3299999999999983,-0.12,0.03,0.060000000000000005,0.08,203,0.005270679237366468
17020,"Chico, CA Metro Area","Chico, CA Metro Area, California",California,cbsa,13566,13158,409,-559,659,7861.9,233552.95,68302.42,36.2,0.65,0.06,0.02,0.2,0.21,207152.5,1636.18,142.74,0.0603,91695.01,38.51,0.47,0.11,0.05,0.3,26724,0.0017512088800419776,1.342485522474899,2.309999999999995,-0.18000000000000005,0.05,0.030000000000000002,0.09999999999999998,509,0.0021841373697965554
35460,"Newport, TN Micro Area","Newport, TN Micro Area, Tennessee",Tennessee,cbsa,2072,1665,407,-390,13,627.92,38177.12,47750.83,45.3,0.92,0,0.02,0.03,0.07,44220.46,436.12,87.54,0.0681,69253.13,42.25,0.78,0.02,0.06,0.11,3737,0.010660835599961442,1.4503021204029334,-3.049999999999997,-0.14,0.02,0.039999999999999994,0.08,30,0.0007864289623961127
42740,"Sedalia, MO Micro Area","Sedalia, MO Micro Area, Missouri",Missouri,cbsa,2017,1612,406,78,273,954.46,47610.9,60475.39,38.2,0.82,0.01,0.02,0.1,0.11,104204.9,682.12,69.8,0.006,75836.24,36.82,0.69,0.03,0.08,0.13,3629,0.008527459048243154,1.254001669108707,-1.3800000000000026,-0.13,0.019999999999999997,0.06,0.03,757,0.016156605960229563
33540,"Missoula, MT Metro Area","Missoula, MT Metro Area, Montana",Montana,cbsa,4678,4274,403,143,100,4400.81,131996.54,74989.27,37.5,0.86,0.02,0,0.05,0.28,249305.04,3812.14,34.63,0.0379,84212.49,39.94,0.66,0.05,0.07,0.18,8952,0.0030531103315283867,1.1229938629886649,2.4399999999999977,-0.19999999999999996,0.030000000000000002,0.07,0.13,646,0.004918137374996707
22060,"Faribault-Northfield, MN Micro Area","Faribault-Northfield, MN Micro Area, Minnesota",Minnesota,cbsa,3330,2927,403,91,746,3493.53,75084.83,82908.61,37.1,0.77,0.02,0.07,0.1,0.18,154796.44,495.8,151.44,-0.0222,91935.12,38.28,0.58,0.07,0.1,0.2,6257,0.005367262601513515,1.1088730108971794,1.1799999999999997,-0.19000000000000006,0.05,0.03,0.1,1240,0.016791967697670912
