Market,State,Inbound,Outbound,Net Migration,Population,Median HHI,Median Age,Migration Type
"Murrells Inlet, SC Micro Area, South Carolina",,75,0,75,64406.37,67902.6592787889,52.2,In-State
"Salinas, CA Metro Area, California",,123,48,75,456542.03,97250.01589722846,35.5,In-State
"Sioux City, IA-NE-SD Metro Area, Nebraska",,116,41,75,144515.22,75213.35445219437,36.2,In-State
"Tampa-St. Petersburg-Clearwater, FL Metro Area, Florida",,297,223,74,3508528.22,74423.36649971723,42.2,In-State
"Jackson, WY-ID Micro Area, Wyoming",,195,123,72,37592.3,117924.29549574832,40,In-State
"Reno, NV Metro Area, Nevada",,171,99,72,564801.92,87733.9559602288,39.5,In-State
"Cape Coral-Fort Myers, FL Metro Area, Florida",,71,0,71,898926.68,76111.04554563938,49,In-State
"Houston-Pasadena-The Woodlands, TX Metro Area, Texas",,153,82,71,7966340.44,83126.4100549336,35.4,In-State
"Port St. Lucie, FL Metro Area, Florida",,98,29,69,541066.39,74533.63595732159,47.6,In-State
"Columbia, SC Metro Area, South Carolina",,210,142,68,888721.51,68626.76374682487,37.6,In-State
"Rock Springs, WY Micro Area, Wyoming",,68,0,68,44105.67,75050.26473904448,37.9,In-State
"Yakima, WA Metro Area, Washington",,102,34,68,258810.49,70536.73027994018,33.3,In-State
"Marietta, OH Micro Area, Ohio",,67,0,67,59346.45,64178.34880465626,44,In-State
"Salina, KS Micro Area, Kansas",,67,0,67,61467.25,66469.75599233765,40.2,In-State
"Brattleboro, VT Micro Area, Vermont",,66,0,66,42354.4,72831.56033983045,47.3,In-State
"Louisville/Jefferson County, KY-IN Metro Area, Kentucky",,222,157,65,1397759.79,73863.43856242945,39.4,In-State
"Mountain Home, ID Micro Area, Idaho",,377,312,65,31954.41,66194.35706156203,33.1,Cross-State
"Waterbury-Shelton, CT Metro Area, Connecticut",,65,0,65,452316.75,87671.66368681574,41.8,In-State
"Lincoln, NE Metro Area, Nebraska",,63,0,63,352979.32,75050.71877141214,34.5,In-State
"Bozeman, MT Metro Area, Montana",,92,31,61,124206.6,95089.43271860607,34.2,In-State
"Elizabethtown, KY Metro Area, Kentucky",,60,0,60,129357.38,66972.18731042524,37.6,In-State
"Coeur d'Alene, ID Metro Area, Idaho",,188,130,58,180033.66,82246.9396714897,40.9,Cross-State
"Casper, WY Metro Area, Wyoming",,104,47,57,81321.89,72051.26197296394,38.4,In-State
"Bloomington, IN Metro Area, Indiana",,111,55,56,183931.38,65611.71428060174,33.1,In-State
"Bend, OR Metro Area, Oregon",,195,140,55,249444.45,90650.02704407729,43,In-State
"Hartford-West Hartford-East Hartford, CT Metro Area, Connecticut",,55,0,55,1147059.01,95149.68401109631,40.8,In-State
"Gaffney, SC Micro Area, South Carolina",,53,0,53,59849.68,50367.95719353728,40.4,In-State
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area, South Carolina",,52,0,52,242804.3,84617.79390744118,47.7,In-State
"Spokane-Spokane Valley, WA Metro Area, Washington",,227,176,51,594793.88,77584.82776234884,39.1,In-State
"Carlsbad-Artesia, NM Micro Area, New Mexico",,50,0,50,58325.83,77819.53298427878,36.2,In-State
"Hagerstown-Martinsburg, MD-WV Metro Area, West Virginia",,86,36,50,306899.99,79453.94989494426,40.2,In-State
"Lake Havasu City-Kingman, AZ Metro Area, Arizona",,85,36,49,235323.19,57937.94345839854,53.6,In-State
"Salt Lake City-Murray, UT Metro Area, Utah",,270,221,49,1325902.25,98225.30405780263,33.9,In-State
"Carroll, IA Micro Area, Iowa",,48,0,48,19212.95,71378.59531442578,41.1,In-State
"Elko, NV Micro Area, Nevada",,89,41,48,57549.07,84352.3470546183,36.1,In-State
"Elkhart-Goshen, IN Metro Area, Indiana",,46,0,46,211972.17,69750.47833892188,35.6,In-State
"Olympia-Lacey-Tumwater, WA Metro Area, Washington",,80,35,45,303163.35,96312.53862501105,40,In-State
"Truckee-Grass Valley, CA Micro Area, California",,59,14,45,96560.33,90457.251814352,50.1,In-State
