Market,State,Inbound,Outbound,Net Migration,Population,Median HHI,Median Age,Migration Type
"Los Angeles-Long Beach-Anaheim, CA Metro Area, California",,1203,533,670,13149209.78,96109.93391778112,38.5,In-State
"San Francisco-Oakland-Fremont, CA Metro Area, California",,697,97,600,4737853.68,136452.8123399521,40.3,In-State
"Riverside-San Bernardino-Ontario, CA Metro Area, California",,837,314,523,4818042.47,90201.55829844167,35.9,In-State
"San Diego-Chula Vista-Carlsbad, CA Metro Area, California",,580,228,352,3413745.48,106578.7446291676,37.3,In-State
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area, District of Columbia",,408,70,338,6613567.68,126732.11055060469,38,In-State
"Sacramento-Roseville-Folsom, CA Metro Area, California",,611,310,301,2499137,97100.87755842519,38.5,In-State
"Chicago-Naperville-Elgin, IL-IN Metro Area, Illinois",,508,229,279,9416817.13,91338.52654148346,38.6,In-State
"Columbus, OH Metro Area, Ohio",,348,70,278,2246705.84,82475.73468490384,36.7,In-State
"Portland-Vancouver-Hillsboro, OR-WA Metro Area, Washington",,453,186,267,2545101.15,97551.81177292684,39.3,In-State
"Seattle-Tacoma-Bellevue, WA Metro Area, Washington",,496,263,233,4254475.99,115281.53473842908,37.5,In-State
"Memphis, TN-MS-AR Metro Area, Tennessee",,268,40,228,1366696.84,66977.51422512475,36.8,In-State
"Twin Falls, ID Metro Area, Idaho",,348,129,219,123238.56,68938.92406309984,35.8,Cross-State
"Fresno, CA Metro Area, California",,190,0,190,1200290.23,74443.59262064322,33.7,In-State
"Albuquerque, NM Metro Area, New Mexico",,231,43,188,931792.2,70889.97199099392,39.8,In-State
"Oxnard-Thousand Oaks-Ventura, CA Metro Area, California",,219,32,187,837118.62,110870.51139119615,39.6,In-State
"Wichita, KS Metro Area, Kansas",,245,73,172,665896.64,70561.93233123407,36.7,In-State
"Santa Rosa-Petaluma, CA Metro Area, California",,181,16,165,481943.39,105565.0825416097,42.9,In-State
"Louisville/Jefferson County, KY-IN Metro Area, Kentucky",,192,30,162,1397759.79,73863.43856242945,39.4,In-State
