ZIP Code,City,State,Net Migration,Population,Seasonal Visitors,Median HHI,Area (sq mi)
83631,Idaho City,Idaho,112,2187,66,80389,346.96
83705,Boise,Idaho,269,27440,1329,64990,7.12
83669,Star,Idaho,1878,22980,490,99630,23.94
83628,Homedale,Idaho,-184,5008,134,73462,55.69
83706,Boise,Idaho,955,36719,4082,82923,7.31
83646,Meridian,Idaho,1129,81255,1643,104050,28.07
83703,Boise,Idaho,97,17214,436,78859,10.61
83714,Garden City,Idaho,536,30537,817,88576,43.07
83709,Boise,Idaho,583,57862,1512,94687,48.78
83629,Horseshoe Bend,Idaho,5,1628,66,77022,341.89
83644,Middleton,Idaho,362,19526,402,98413,49.83
83607,Caldwell,Idaho,1221,42097,883,85808,177.84
83704,Boise,Idaho,-546,35858,1085,73056,9.21
83687,Nampa,Idaho,2393,47490,1201,75607,48.76
83660,Parma,Idaho,176,7564,120,65592,107.95
83639,Marsing,Idaho,96,3592,82,69747,94.06
83634,Kuna,Idaho,436,39982,650,95799,409.01
83626,Greenleaf,Idaho,-111,1719,24,68232,17.31
83622,Garden Valley,Idaho,-33,2048,120,67538,607.04
83624,Grand View,Idaho,86,1225,29,59064,745.03
83616,Eagle,Idaho,363,42477,986,123108,91.51
83702,Boise,Idaho,555,24712,923,84121,15.93
83713,Boise,Idaho,1,28231,709,94582,7.36
83686,Nampa,Idaho,430,62304,1599,86440,82.84
83676,Wilder,Idaho,141,5227,115,69063,42.49
83642,Meridian,Idaho,3757,69751,1976,99036,37.56
83611,Cascade,Idaho,-42,2589,214,81135,1062.23
83712,Boise,Idaho,268,9065,304,107072,9.61
83605,Caldwell,Idaho,371,42373,1111,67920,22.59
83641,Melba,Idaho,390,4541,74,83795,1273.85
83604,Bruneau,Idaho,7,579,14,47929,2771.83
83617,Emmett,Idaho,325,19169,318,65763,274.45
83651,Nampa,Idaho,464,38692,850,68715,11.16
