account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
S1501120610,6225 S FEDERAL WAY,2N 2E 01,21.5009,21.52,3280900,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,0.501,0.519,32,24.33,2,43.544293,-116.16056,40.3,PAR #0610 OF GOV LOTS 1 & 2 SEC 1 2N 2E R/S 3355 #110400C #1210650C #121005C #10
S0928314810,6312 E GRAND PRAIRIE DR,3N 3E 28,25.3351,25.349,0,City of Boise,A-2,Boise Open Land/Ag,Agricultural / Rural,Low,Vacant Land,Boise,Large Lot/Rural,Large Lot / Rural,low-density / rural,2.807,0.63,29,27.84,3,43.565643,-116.105884,39.2,PAR #4810 @ NE COR E2SW4 SEC 28 3N 3E #314800-B
R1719470200,2750 S PALMATIER WAY,DALLAS HARRIS ESTATES SUB NO 07,1.6138,1.616,0,City of Boise,SP-01,Specific Plan SP-01,Planned / Overlay,Unknown,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,2.539,0.782,152,1.61,1,43.576621,-116.13529,38.5,LOT 1 BLK 21 DALLAS HARRIS ESTATES #7
S0920417550,5759 E BARBER DR,3N 3E 20,14.1545,14.17,0,City of Boise,SP-01,Specific Plan SP-01,Planned / Overlay,Unknown,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,3.007,0.238,41,17.22,2,43.57812,-116.118238,38.2,PAR #7550 @ CTR SE4 IN TCA 01-104 SEC 20 3N 3E #417500-B
S0921336315,5759 E BARBER DR,3N 3E 21,3.0642,3.07,0,City of Boise,SP-01,Specific Plan SP-01,Planned / Overlay,Unknown,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,3.164,0.313,41,17.22,2,43.578111,-116.112827,37.9,PAR #6300 POR W2SW4 IN TCA 01-6 SEC 21 3N 3E #336300-R
S1032141900,4553 W HARVARD ST,3N 2E 32,15.8792,18.4,0,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Airport,Airport,airport — residential restricted,4.364,0.632,27,29.58,3,43.556305,-116.236002,37.9,SE4NE4 N OF GOWEN RD EXC RD SEC 32 3N 2E #140000_S #7755962
S1032110025,W HARVARD ST,3N 2E 32,8.1435,8.156,,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Airport,Airport,airport — residential restricted,4.47,0.17,27,29.58,3,43.557017,-116.237941,37.6,PAR #0025 POR NE4 SEC 32 3N 2E
S1032131200,W GOWEN RD,3N 2E 32,5.5555,5.3,0,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Airport,Airport,airport — residential restricted,4.553,0.474,27,29.58,3,43.556353,-116.239858,37.5,PAR #1200 OF SW4NE4 SEC 32 3N 2E
R1525640070,E LAKE FOREST DR,COLUMBIA VILLAGE NO 09,2.162,2.16,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,0.822,0.197,37,19.7,4,43.550058,-116.139467,35.1,LOT 163 BLK 4 COLUMBIA VILLAGE #9 #96027948
R7909030330,E GRAND FOREST DR,SILVERADO RANCH SUB NO 04,1.2131,1.213,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,0.82,0.402,37,19.7,4,43.546499,-116.1362,35.1,POR LOT 152 BLK 01 IN TCA 01-6 SILVERADO RANCH #4 SUB
R1525690400,3655 E LAKE FOREST DR,COLUMBIA VILLAGE NO 14,9.6527,9.66,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,0.848,0.26,37,19.7,4,43.548883,-116.137446,35.0,LOT 25 BLK 8 COLUMBIA VILLAGE #14 #97043801
S0931447200,4150 E GRAND FOREST DR,3N 3E 31,6.6737,6.725,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,School,School,institutional,0.929,0.513,37,19.7,4,43.547849,-116.134679,34.8,PAR #7200 OF SE4SE4 SEC 31 3N 3E #417893-S #96001591
S0929438572,E SAWMILL WAY,3N 3E 29,5.2627,5.262,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.084,0.499,33,21.41,4,43.562406,-116.120901,34.2,PAR #8572 POR GOVT LOT 2 SEC 29 3N 3E #438565-C #438590-C
S0929449100,5237 E SAWMILL WAY,3N 3E 29,5.0461,5,0,City of Boise,A-2,Boise Open Land/Ag,Agricultural / Rural,Low,Vacant Land,Boise,Large Lot/Rural,Large Lot / Rural,low-density / rural,2.207,0.773,33,21.41,4,43.562904,-116.11819,34.0,PAR #9100 OF S2SE4 SEC 29 3N 3E #S0929442200 R
S0929449200,E SAWMILL WAY,3N 3E 29,6.5105,6.56,0,City of Boise,A-2,Boise Open Land/Ag,Agricultural / Rural,Low,Vacant Land,Boise,Large Lot/Rural,Large Lot / Rural,low-density / rural,2.245,0.347,33,21.41,4,43.562645,-116.116879,33.9,PAR #9200 OF S2SE4 SEC 29 3N 3E #S0929431200 R
S0928336050,5657 E WARM SPRINGS AVE,3N 3E 28,4.5923,4.43,0,Ada County,M2,County Manufacturing M2,Industrial / Business Park,Low,Vacant Land,Boise,Public/Quasi-Public,Public / Quasi-Public,institutional,2.372,0.412,33,21.41,4,43.563562,-116.114631,33.7,PAR #6050 OF SEC 28 & 29 3N 3E ROS 2492 #332700-B
R3466000251,S EISENMAN RD,HARLAN SUB,1.8948,1.89,247000,Ada County,M3,County Manufacturing M3,Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,1.664,0.361,35,19.89,2,43.517694,-116.14906,33.6,LOTS 25-28 INC EXC INT 80N & LOTS 29-32 INC W OF INT 80N HARLAN SUB         R/S 
R1179380090,2286 E SUMMERSWEET DR,BUSINESS PARK SUB NO 04,4.8136,4.806,0,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,0.489,0.171,40,17.4,2,43.54794,-116.15591,33.4,LOT 12 BLK 02 BUSINESS PARK SUB NO 04
R1179380105,2051 E YAMHILL RD,BUSINESS PARK SUB NO 04,12.582,12.534,4367800,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,0.52,0.68,40,17.4,2,43.548631,-116.155375,33.4,LOTS 13-20 BLK 02 BUSINESS PARK SUB NO 04 #0100-C #0110-C #0120-C #0130-C #0140-
S1618223150,2649 E FREIGHT ST,2N 3E 18,17.9967,17.919,0,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,1.906,0.564,35,19.89,2,43.514151,-116.150242,33.1,PAR #3150 OF GOVT LOTS 1 & 2 SEC 18 2N 3E #223100-B
R5983350010,2450 E EASTDALE DR,NATIVA TERRA SUB,2.9731,2.987,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,4.641,0.28,30,25.2,8,43.608557,-116.160609,32.9,LOT 01 BLK 01 NATIVA TERRA SUB
R7198560430,4250 S FEDERAL WAY,PROMONTORY RIDGE SUB,1.0631,1.063,138900,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,1.88,0.592,96,4.23,3,43.563836,-116.173099,32.5,LOT 43 BLK 01 PROMONTORY RIDGE SUB
S1604336300,5800 E COLUMBIA RD,2N 3E 04,11.3304,11.347,0,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.084,0.44,52,11.33,1,43.532702,-116.111491,32.2,PAR #6300 @ CTR S POR SW4 SEC 4  2N 3E R/S 5671 EXC R/W #336100-B
S1618212442,9587 S FEDERAL WAY,2N 3E 18,14.0408,14.05,4284100,Ada County,M2,County Manufacturing M2,Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,1.937,0.603,38,18.84,3,43.514052,-116.145058,32.0,PAR #2442 OF NE4NW4 SEC 18 2N 3E #211000-B
S1618120900,S FEDERAL WAY,2N 3E 18,1.999,2,609800,Ada County,M2,County Manufacturing M2,Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,1.946,0.363,38,18.84,3,43.514052,-116.144066,31.9,PAR #0900 OF NW4NE4 SEC 18 2N 3E #121000-S #8923840
S1501417450,7090 S EISENMAN RD,2N 2E 01,3.3011,2.95,432100,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,0.469,0.472,43,15.73,3,43.53718,-116.158128,31.8,PAR #7450 OF NE4SE4 SEC 1 2N 2E
S1501417500,7342 S EISENMAN RD,2N 2E 01,4.4699,4.14,1623000,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,0.535,0.753,43,15.73,3,43.535557,-116.157637,31.7,PAR #7500 OF NE4SE4 SEC 1 2N 2E #94097203
S1618241150,S FEDERAL WAY,2N 3E 18,2.8006,2.803,854700,Ada County,M2,County Manufacturing M2,Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,2.081,0.393,38,18.84,3,43.511996,-116.144589,31.7,PAR #1150 OF SE4NW4 SEC 18 2N 3E
S1501449003,7368 S EISENMAN RD,2N 2E 01,7.9552,8.395,3291200,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,0.604,0.759,43,15.73,3,43.534189,-116.157305,31.5,PAR #9003 OF SE4SE4 SEC 1 2N 2E #449010-S #96068785
R5121650080,E FOTHERGILL ST,LAHONTAN RIDGE SUB,1.0278,1.03,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,1.654,0.263,39,17.65,3,43.564905,-116.159483,31.3,LOT 08 BLK 01 LAHONTAN RIDGE SUB
S1025427910,S TABLERIDGE WAY,3N 2E 25,10.0951,10.13,,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,1.684,0.167,39,17.65,3,43.564818,-116.162007,31.3,PAR#7910 OF NEW YORK CANAL SEC 25 3N 2E
R7909990140,S REDHAWK PL,SILVERWOOD SUB NO 04,1.9549,1.957,0,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,1.545,0.437,138,1.95,1,43.563886,-116.155423,30.9,LOT 15 BLK 6 SILVERWOOD SUB #4 #97006047
S1025325450,S APPLE ST,3N 2E 25,6.5253,6.576,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,1.908,0.357,39,17.65,3,43.565222,-116.171218,30.8,PAR #5450 NW4SW4 CANAL R/W SEC 25 3N 2E BLK 464 PG 84 #325400-B
R7909020015,6400 S HONEYLOCUST PL,SILVERADO RANCH SUB NO 03,8.7641,8.778,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,0.266,0.71,45,14.08,3,43.543146,-116.146257,30.5,LOT 103 BLK 1 SILVERADO RANCH #03 SUB #0010-C #0020-C
S1025121000,E BOISE AVE,3N 2E 25,3.0354,3.039,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,2.279,0.205,110,3.04,1,43.57412,-116.1598,30.5,PAR #100 POR RIDENBAUGH CANAL NW4NE4 SEC 25 3N 2E
R3719160500,2825 W MALAD ST,HOME ACRES SUB NO 16,5.7124,4.95,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,4.144,0.556,83,5.71,1,43.57804,-116.217068,29.4,"S 2 OF LOT 11 & ALL OF LOTS 12,13 & 16-21 INC BLK 1 HOME ACRES SUB NO 16"
S0917311000,E HWY 21,3N 3E 17,19.8774,20,94000,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Boise,Public/Quasi-Public,Public / Quasi-Public,institutional,3.862,0.701,36,19.88,1,43.594422,-116.125445,29.2,E2NE4SW4 SEC 17 3N 3E
S1611221110,STAGECOACH RD,2N 3E 11,5.1799,5.15,28800,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Ada County,Rural,Rural (county),low-density / rural,3.986,0.764,34,19.94,5,43.531033,-116.072992,29.0,PAR #1110 OF NW4NW4 SEC 11 2N 3E #749169
R5125520210,3100 S SNOWFLAKE WAY,LAKEWOOD UNIT NO 03,2.679,2.681,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,2.889,0.696,118,2.68,1,43.574427,-116.187181,28.9,BLK 3 LAKEWOOD UNIT NO 3
S1611221150,S STAGECOACH RD,2N 3E 11,2.0081,2.45,13700,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Ada County,Rural,Rural (county),low-density / rural,4.015,0.546,34,19.94,5,43.530051,-116.072672,28.9,PAR #1150 OF NW4NW4 SEC 11 2N 3E   #8050843
S1611223200,STAGECOACH RD,2N 3E 11,8.7391,8.59,17600,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Ada County,Rural,Rural (county),low-density / rural,4.036,0.388,34,19.94,5,43.528812,-116.072619,28.9,PAR #3200 OF NW4NW4 SEC 11 2N 3E #8557352
S1611221200,S STAGECOACH RD,2N 3E 11,2.006,2,10300,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Ada County,Rural,Rural (county),low-density / rural,4.049,0.548,34,19.94,5,43.529764,-116.072075,28.8,PAR #1200 OF NW4NW4 SEC 11 2N 3E   #8050843
S1611221250,STAGECOACH RD,2N 3E 11,2.0028,1.94,10900,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Ada County,Rural,Rural (county),low-density / rural,4.069,0.555,34,19.94,5,43.529386,-116.071774,28.8,PAR #1250 OF NW4NW4 SEC 11 2N 3E #98113076-75
R3482151700,4057 S MILL SITE AVE,HARRIS RANCH SUB NO 01,1.161,1.162,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,2.253,0.999,172,1.16,1,43.565339,-116.120146,28.7,LOT 01 BLK 13 HARRIS RANCH SUB NO 01
R5125500225,311 W FALL DR,LAKEWOOD UNIT NO 01,2.7517,2.74,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,3.014,0.781,116,2.75,1,43.577544,-116.185568,28.7,BLK 2 LAKEWOOD UNIT #1
R1525760430,S ADONIS WAY,COLUMBIA VILLAGE NO 20,4.0921,4.093,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,1.297,0.325,44,14.11,4,43.55608,-116.134509,28.5,LOT 354 BLK 04 COLUMBIA VILLAGE SUB NO 20
R0541500060,E TREKKER RIM DR,ASIN MOODY SUB,5.2284,5.232,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,1.363,0.233,44,14.11,4,43.555798,-116.132119,28.4,LOT 06 BLK 01 ASIN-MOODY SUB
R1525770290,5372 S PEGASUS WAY,COLUMBIA VILLAGE NO 21,2.7538,2.757,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,1.369,0.36,44,14.11,4,43.553675,-116.129395,28.4,LOT 383 BLK 04 COLUMBIA VILLAGE NO 21
R7284000800,W SUNRISE RD,QUAST SUB,2.2897,2.29,,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.976,0.46,127,2.29,1,43.568873,-116.197355,28.3,PAR#0800 OF NEW YORK CANAL ADJ TO LOTS 13 & 14 QUAST SUB
R0541500320,S OREGON TRAIL WAY,ASIN MOODY SUB,2.0354,2.035,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,1.488,0.433,44,14.11,4,43.556363,-116.12938,28.1,LOT 32 BLK 01 ASIN-MOODY SUB
S0930347000,E AMITY RD,3N 3E 30,13.8206,13.821,6020400,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,1.392,0.707,46,13.82,1,43.561403,-116.145179,28.0,PAR #7000 @ SE COR OF SE4 SW4 SEC 30 3N 3E PARCEL C R/S 4698
R7475360220,6390 E WARM SPRINGS AVE,RIVERHEIGHTS SUB NO 05,6.054,6.073,0,City of Boise,SP-02,Specific Plan SP-02,Planned / Overlay,Unknown,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.796,0.587,80,6.05,1,43.562095,-116.10295,27.5,LOT 66 BLK 04 RIVERHEIGHTS SUB #5
S1027131235,3412 S LINDSAY AVE,3N 2E 27,1.797,1.87,814600,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Industrial,Industrial,non-residential,3.147,0.782,147,1.8,1,43.571226,-116.199085,27.5,PAR #1235 OF SW4NE4 SEC 27 3N 2E #131350 S
R0619790190,1250 E BRIGHTWATER LN,AVERY SPRINGS,1.592,1.41,0,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,3.116,0.371,155,1.59,1,43.585305,-116.167277,27.4,LOT 19 BLK 1 AVERY SPRINGS #9398882
R5125510275,2969 S GEKELER LN,LAKEWOOD UNIT NO 02,1.1292,3,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,2.89,0.367,175,1.13,1,43.575782,-116.184729,27.3,LOT A LAKEWOOD UNIT #2
R5125550325,180 E TWIN WILLOW DR,LAKEWOOD UNIT NO 06,1.0093,1.012,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,2.881,0.806,189,1.01,1,43.577194,-116.181457,27.2,LOT 14 BLK 11 LAKEWOOD UNIT NO 6
S1501346900,7451 S EISENMAN RD,2N 2E 01,5.5886,5.59,547900,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,0.818,0.524,53,11.18,2,43.534336,-116.163954,26.5,PAR #6900 OF E2SW4 SEC 1 2N 2E #438805-S
S1013244710,2290 E WARM SPRINGS AVE,3N 2E 13,1.2261,1.23,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,4.06,0.386,120,2.55,2,43.599657,-116.164826,26.4,PAR #4710 IN NW4 SEC 13 3N 2E
S1013244762,2290 E WARM SPRINGS AVE,3N 2E 13,1.3264,1.32,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,4.07,0.784,120,2.55,2,43.599897,-116.164049,26.4,PAR #4762 OF SE4NW4 SEC 13 3N 2E #244761-B
S1501346800,7519 S EISENMAN RD,2N 2E 01,5.5886,5.59,547900,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,0.867,0.524,53,11.18,2,43.533941,-116.164765,26.4,PAR #6800 OF E2SW4 & OF W2SE4 SEC 1 2N 2E #438805-S
R5471000075,252 E SCHMEIZER LN,MARTIN SUB,1.0697,1.074,255700,City of Boise,R-1B,Boise Single-Family (medium lot),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,3.731,0.738,183,1.07,1,43.591376,-116.180542,25.6,PAR #0075 OF LOT 7 MARTIN SUB
R5983920020,S HABITAT LN,NATURES WOOD DUCK ISLAND NO 06,1.0943,1.095,0,City of Boise,R-1A,Boise Single-Family (large lot),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.036,0.188,48,12.68,4,43.571079,-116.147608,25.6,LOT 80 BLK 4 NATURES WOOD DUCK ISLAND #6
R1955021145,1022 W CHAMBERLIN ST,DUNDEE 03RD SUB AND AMD BLK 13,1.2764,1.278,0,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,3.885,0.704,164,1.28,1,43.588352,-116.1946,25.5,PAR #1145 OF BLK 34 DUNDEE 3RD SUB PARCEL C  R/S 10354 #1144C  #1151C
R5983920012,E WILDERNEST LN,NATURES WOOD DUCK ISLAND NO 06,5.0016,5.021,0,City of Boise,R-1A,Boise Single-Family (large lot),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.095,0.446,48,12.68,4,43.571857,-116.146486,25.5,PAR #0012 OF LOT 79 BLK 4 NATURES WOOD DUCK ISLAND #6 #0010-B
R5983920011,E WILDERNEST LN,NATURES WOOD DUCK ISLAND NO 06,2.543,2.546,0,City of Boise,R-1A,Boise Single-Family (large lot),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.193,0.653,48,12.68,4,43.573401,-116.148198,25.3,PAR #0011 OF LOT 79 BLK 4 NATURES WOOD DUCK ISLAND #6 #0010-S
R5983920013,E WILDERNEST LN,NATURES WOOD DUCK ISLAND NO 06,4.0436,4.048,0,City of Boise,R-1A,Boise Single-Family (large lot),Single-Family Residential,Low,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.23,0.621,48,12.68,4,43.573981,-116.149528,25.2,PAR #0013 OF LOT 79 BLK 4 NATURES WOOD DUCK ISLAND #6 #0010-B #96065985
S1605223000,E GOWEN RD,2N 3E 05,2.3281,43.81,0,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),1.053,0.33,126,2.33,1,43.542285,-116.130195,25.2,GOVT LOT 4 SEC 5 2N3E
S1022325410,2291 S COLUMBUS ST,3N 2E 22,1.0568,1.13,433900,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,4.022,0.535,185,1.06,1,43.581608,-116.20971,25.0,PAR #5410 OF NW4SW4 SEC 22 3N 2E #9276294
S1011449710,352 N COSTON ST,3N 2E 11,2.0126,2.01,822700,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,4.638,0.614,134,2.01,1,43.606621,-116.174939,24.7,PAR #9710 POR SE4SE4 SEC 11 3N 2E #8446091
S1502212620,301 W GOWEN RD,2N 2E 02,4.9952,5,1960200,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,1.712,0.687,54,11.05,2,43.544125,-116.185213,24.6,PAR #2620 OF NE4NW4 SEC 02 2N 2E #212600-B
S1502244507,333 W GOWEN RD,2N 2E 02,6.0509,6,2613600,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,1.721,0.658,54,11.05,2,43.543217,-116.1855,24.6,PAR #4507 POR NW4 SEC 02 2N 2E #244505-S
S1605336000,E COLUMBIA RD,2N 3E 05,1.8458,1.84,331200,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),1.116,0.781,142,1.85,1,43.531593,-116.133848,24.6,PAR #6000 OF SW4SW4 SEC 5 2N3E
R0805810210,3111 E BARBER VALLEY DR,BARBERVALLEY SUB NO 01,1.6092,1.61,0,City of Boise,SP-02,Specific Plan SP-02,Planned / Overlay,Unknown,Vacant Land,Boise,Office,Office,non-residential (MF only if mixed),2.363,0.638,153,1.61,1,43.575828,-116.147377,23.9,LOT 04 BLK 02 BARBERVALLEY NO 1
S0920438560,5300 E BARBER DR,3N 3E 20,2.0786,2.08,1248000,City of Boise,SP-01,Specific Plan SP-01,Planned / Overlay,Unknown,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.774,0.427,132,2.08,1,43.576242,-116.122876,23.5,PAR #8560 POR SW4SE4 SEC 20 3N 3E PAR B ROS 12024 #438550-B
S0918131500,E TABLE ROCK RD,3N 3E 18,2.4946,2.5,402200,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.01,0.315,78,6.35,3,43.599429,-116.142458,23.3,PAR #1500 NR CTR SW4NE4 SEC 18 3N 3E PARCEL 7  R/S 9568 #131400-S
R0805810115,3244 E BARBER VALLEY DR,BARBERVALLEY SUB NO 01,1.0506,1.052,687400,City of Boise,SP-02,Specific Plan SP-02,Planned / Overlay,Unknown,Vacant Land,Boise,Office,Office,non-residential (MF only if mixed),2.443,0.777,187,1.05,1,43.576732,-116.144306,23.2,PAR #0115 OF LOTS 11&13 BLK 1 BARBERVALLEY SUB NO 01 PARCEL A ROS 11253 #0110-C 
S0981120650,E TABLE ROCK RD,3N 3E 18,1.4453,1.45,,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.118,0.16,78,6.35,3,43.60093,-116.14167,23.1,PAR #0650 OF VAC TABLE ROCK RD SEC 18 3N 3E
S1026335235,S GEKELER LN,3N 2E 26,10.5506,10.3,2805700,City of Boise,I-1,Boise Industrial (light),Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,2.238,0.522,55,10.55,1,43.561696,-116.186389,23.1,PAR #5235 OF S2SW4 SEC 26 3N 2E #8208674
S0918121000,E TABLE ROCK RD,3N 3E 18,2.4114,2.495,402200,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Boise,Buildable,Buildable (future growth),"development-ready, use TBD",4.162,0.787,78,6.35,3,43.601592,-116.141839,23.0,PAR #1000 NR CTR NW4NE4 SEC 18 3N 3E PARCEL 3  R/S 9541 #120800-B
