account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
R8843000302,1225 S FEDERAL WAY,UPLAND PARK,1.7699,1.772,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,Mixed Use,Mixed Use,supports multifamily,4.475,0.364,76,6.42,3,43.592743,-116.206292,49.5,PAR #0302 @ SE COR BLK 03 UPLAND PARK  RS7772 #0300-B
R7475320350,6060 E GRAND PRAIRIE DR,RIVERHEIGHTS SUB NO 01,1.4456,1.447,0,City of Boise,SP-02,Specific Plan SP-02,Planned / Overlay,Unknown,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.731,0.285,29,27.84,3,43.565782,-116.107927,49.4,LOT 01  BLK 04 RIVERHEIGHTS SUB #1
R7475330140,E PENS EDGE ST,RIVERHEIGHTS SUB NO 02,1.0636,1.063,0,City of Boise,SP-02,Specific Plan SP-02,Planned / Overlay,Unknown,Vacant Land,Boise,Suburban,Suburban Residential,single-family oriented,2.75,0.224,29,27.84,3,43.567263,-116.109054,49.3,LOT 16 BLK 4 RIVERHEIGHTS SUB #2
S1021449110,W HILLCREST LN,3N 2E 21,2.7976,2.8,,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,4.083,0.367,56,10.49,3,43.575883,-116.217743,49.3,PAR#9110 OF NEW YORK CANAL POR OF SE4SE4 SEC 21 3N 2E & POR OF HOME ACRES SUB #1
S0928333120,E WARM SPRINGS AVE,3N 3E 28,1.6504,1.654,0,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Boise,Large Lot/Rural,Large Lot / Rural,low-density / rural,2.333,0.746,23,36.85,3,43.561527,-116.113462,49.2,PAR #3120 OF SW4 SEC 28 3N 3E #333101-S
S0928336350,E WARM SPRINGS AVE,3N 3E 28,7.1943,7.201,0,Ada County,M2,County Manufacturing M2,Industrial / Business Park,Low,Vacant Land,Boise,Large Lot/Rural,Large Lot / Rural,low-density / rural,2.462,0.559,23,36.85,3,43.56223,-116.110984,48.9,PAR #6350 OF SW4SW4 SEC 28 3N 3E #336320-B
S1021438510,W HILLCREST LN,3N 2E 21,6.018,6.02,,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,Compact,Compact / walkable neighborhood,supports attached/medium,4.313,0.253,56,10.49,3,43.577284,-116.222003,48.9,PAR#8510 OF NEW YORK CANAL POR OF SW4SE4 SEC 21 3N 2E & POR OF HOME ADD NO 01
S0928333150,E WARM SPRINGS AVE,3N 3E 28,28.0102,28.036,0,Ada County,M2,County Manufacturing M2,Industrial / Business Park,Low,Vacant Land,Boise,Large Lot/Rural,Large Lot / Rural,low-density / rural,2.514,0.337,23,36.85,3,43.561516,-116.109067,48.8,PAR #3150 OF SW4SW4 SEC 28 3N 3E #333101-B
S1622212500,E BLACKS CREEK RD,2N 3E 22,29.9863,30,39000,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Ada County,Rural,Rural (county),low-density / rural,4.273,0.769,20,39.99,2,43.500372,-116.087797,48.4,W2E2NE4NW4 W2NE4NW4 SEC 22 2N 3E #120000-S
S1622212400,E BLACKS CREEK RD,2N 3E 22,10.0042,10,13000,Ada County,RP,County Rural Preservation/Foothills,Agricultural / Rural,Low,Vacant Land,Ada County,Rural,Rural (county),low-density / rural,4.366,0.502,20,39.99,2,43.500368,-116.085313,48.3,E2E2NE4NW4 SEC 22  2N 3E #120000-S
