FLU (source: designation),Vacant parcels in area
Boise: Suburban,1113
Boise: Compact,531
Boise: Mixed Use,389
Boise: Industrial,256
Boise: Parks/Open Space,172
Boise: Commercial,124
Boise: PC,86
Ada County: Rural,77
Boise: High Density,66
Boise: Office,62
Boise: Airport,43
Boise: Buildable,43
Boise: Large Lot/Rural,40
Boise: BSU Master Plan,33
Boise: Public/Quasi-Public,16
Boise: Slope Protection,12
(no FLU),5
Boise: School,4
